date,series_id,value,realtime_start,realtime_end
1/1/15,CSUSHPINSA,166.244,10/4/24,10/4/24
2/1/15,CSUSHPINSA,166.625,10/4/24,10/4/24
3/1/15,CSUSHPINSA,168.083,10/4/24,10/4/24
4/1/15,CSUSHPINSA,169.965,10/4/24,10/4/24
5/1/15,CSUSHPINSA,171.846,10/4/24,10/4/24
6/1/15,CSUSHPINSA,173.446,10/4/24,10/4/24
7/1/15,CSUSHPINSA,174.492,10/4/24,10/4/24
8/1/15,CSUSHPINSA,174.933,10/4/24,10/4/24
9/1/15,CSUSHPINSA,175.039,10/4/24,10/4/24
10/1/15,CSUSHPINSA,175.044,10/4/24,10/4/24
11/1/15,CSUSHPINSA,175.135,10/4/24,10/4/24
12/1/15,CSUSHPINSA,175.107,10/4/24,10/4/24
1/1/16,CSUSHPINSA,175.027,10/4/24,10/4/24
2/1/16,CSUSHPINSA,175.271,10/4/24,10/4/24
3/1/16,CSUSHPINSA,176.594,10/4/24,10/4/24
4/1/16,CSUSHPINSA,178.491,10/4/24,10/4/24
5/1/16,CSUSHPINSA,180.34,10/4/24,10/4/24
6/1/16,CSUSHPINSA,181.91,10/4/24,10/4/24
7/1/16,CSUSHPINSA,183.011,10/4/24,10/4/24
8/1/16,CSUSHPINSA,183.648,10/4/24,10/4/24
9/1/16,CSUSHPINSA,183.936,10/4/24,10/4/24
10/1/16,CSUSHPINSA,184.009,10/4/24,10/4/24
11/1/16,CSUSHPINSA,184.221,10/4/24,10/4/24
12/1/16,CSUSHPINSA,184.393,10/4/24,10/4/24
1/1/17,CSUSHPINSA,184.646,10/4/24,10/4/24
2/1/17,CSUSHPINSA,185.014,10/4/24,10/4/24
3/1/17,CSUSHPINSA,186.522,10/4/24,10/4/24
4/1/17,CSUSHPINSA,188.535,10/4/24,10/4/24
5/1/17,CSUSHPINSA,190.531,10/4/24,10/4/24
6/1/17,CSUSHPINSA,192.258,10/4/24,10/4/24
7/1/17,CSUSHPINSA,193.504,10/4/24,10/4/24
8/1/17,CSUSHPINSA,194.339,10/4/24,10/4/24
9/1/17,CSUSHPINSA,194.809,10/4/24,10/4/24
10/1/17,CSUSHPINSA,195.075,10/4/24,10/4/24
11/1/17,CSUSHPINSA,195.441,10/4/24,10/4/24
12/1/17,CSUSHPINSA,195.838,10/4/24,10/4/24
1/1/18,CSUSHPINSA,196.106,10/4/24,10/4/24
2/1/18,CSUSHPINSA,196.896,10/4/24,10/4/24
3/1/18,CSUSHPINSA,198.564,10/4/24,10/4/24
4/1/18,CSUSHPINSA,200.605,10/4/24,10/4/24
5/1/18,CSUSHPINSA,202.442,10/4/24,10/4/24
6/1/18,CSUSHPINSA,204.033,10/4/24,10/4/24
7/1/18,CSUSHPINSA,204.94,10/4/24,10/4/24
8/1/18,CSUSHPINSA,205.318,10/4/24,10/4/24
9/1/18,CSUSHPINSA,205.365,10/4/24,10/4/24
10/1/18,CSUSHPINSA,205.361,10/4/24,10/4/24
11/1/18,CSUSHPINSA,205.099,10/4/24,10/4/24
12/1/18,CSUSHPINSA,204.689,10/4/24,10/4/24
1/1/19,CSUSHPINSA,204.191,10/4/24,10/4/24
