date,series_id,value,realtime_start,realtime_end
1/1/15,MORTGAGE30US,3.67,10/4/24,10/4/24
2/1/15,MORTGAGE30US,3.71,10/4/24,10/4/24
3/1/15,MORTGAGE30US,3.77,10/4/24,10/4/24
4/1/15,MORTGAGE30US,3.67,10/4/24,10/4/24
5/1/15,MORTGAGE30US,3.84,10/4/24,10/4/24
6/1/15,MORTGAGE30US,3.98,10/4/24,10/4/24
7/1/15,MORTGAGE30US,4.05,10/4/24,10/4/24
8/1/15,MORTGAGE30US,3.91,10/4/24,10/4/24
9/1/15,MORTGAGE30US,3.89,10/4/24,10/4/24
10/1/15,MORTGAGE30US,3.8,10/4/24,10/4/24
11/1/15,MORTGAGE30US,3.94,10/4/24,10/4/24
12/1/15,MORTGAGE30US,3.96,10/4/24,10/4/24
1/1/16,MORTGAGE30US,3.87,10/4/24,10/4/24
2/1/16,MORTGAGE30US,3.66,10/4/24,10/4/24
3/1/16,MORTGAGE30US,3.69,10/4/24,10/4/24
4/1/16,MORTGAGE30US,3.61,10/4/24,10/4/24
5/1/16,MORTGAGE30US,3.6,10/4/24,10/4/24
6/1/16,MORTGAGE30US,3.57,10/4/24,10/4/24
7/1/16,MORTGAGE30US,3.44,10/4/24,10/4/24
8/1/16,MORTGAGE30US,3.44,10/4/24,10/4/24
9/1/16,MORTGAGE30US,3.46,10/4/24,10/4/24
10/1/16,MORTGAGE30US,3.47,10/4/24,10/4/24
11/1/16,MORTGAGE30US,3.77,10/4/24,10/4/24
12/1/16,MORTGAGE30US,4.2,10/4/24,10/4/24
1/1/17,MORTGAGE30US,4.15,10/4/24,10/4/24
2/1/17,MORTGAGE30US,4.17,10/4/24,10/4/24
3/1/17,MORTGAGE30US,4.2,10/4/24,10/4/24
4/1/17,MORTGAGE30US,4.05,10/4/24,10/4/24
5/1/17,MORTGAGE30US,4.01,10/4/24,10/4/24
6/1/17,MORTGAGE30US,3.9,10/4/24,10/4/24
7/1/17,MORTGAGE30US,3.97,10/4/24,10/4/24
8/1/17,MORTGAGE30US,3.88,10/4/24,10/4/24
9/1/17,MORTGAGE30US,3.81,10/4/24,10/4/24
10/1/17,MORTGAGE30US,3.9,10/4/24,10/4/24
11/1/17,MORTGAGE30US,3.92,10/4/24,10/4/24
12/1/17,MORTGAGE30US,3.95,10/4/24,10/4/24
1/1/18,MORTGAGE30US,4.03,10/4/24,10/4/24
2/1/18,MORTGAGE30US,4.33,10/4/24,10/4/24
3/1/18,MORTGAGE30US,4.44,10/4/24,10/4/24
4/1/18,MORTGAGE30US,4.47,10/4/24,10/4/24
5/1/18,MORTGAGE30US,4.59,10/4/24,10/4/24
6/1/18,MORTGAGE30US,4.57,10/4/24,10/4/24
7/1/18,MORTGAGE30US,4.53,10/4/24,10/4/24
8/1/18,MORTGAGE30US,4.55,10/4/24,10/4/24
9/1/18,MORTGAGE30US,4.63,10/4/24,10/4/24
10/1/18,MORTGAGE30US,4.83,10/4/24,10/4/24
11/1/18,MORTGAGE30US,4.87,10/4/24,10/4/24
12/1/18,MORTGAGE30US,4.64,10/4/24,10/4/24
1/1/19,MORTGAGE30US,4.46,10/4/24,10/4/24
2/1/19,MORTGAGE30US,4.37,10/4/24,10/4/24
3/1/19,MORTGAGE30US,4.27,10/4/24,10/4/24
4/1/19,MORTGAGE30US,4.14,10/4/24,10/4/24
5/1/19,MORTGAGE30US,4.07,10/4/24,10/4/24
6/1/19,MORTGAGE30US,3.8,10/4/24,10/4/24
7/1/19,MORTGAGE30US,3.77,10/4/24,10/4/24
8/1/19,MORTGAGE30US,3.62,10/4/24,10/4/24
9/1/19,MORTGAGE30US,3.61,10/4/24,10/4/24
10/1/19,MORTGAGE30US,3.69,10/4/24,10/4/24
11/1/19,MORTGAGE30US,3.7,10/4/24,10/4/24
12/1/19,MORTGAGE30US,3.72,10/4/24,10/4/24
1/1/20,MORTGAGE30US,3.62,10/4/24,10/4/24
2/1/20,MORTGAGE30US,3.47,10/4/24,10/4/24
3/1/20,MORTGAGE30US,3.45,10/4/24,10/4/24
4/1/20,MORTGAGE30US,3.31,10/4/24,10/4/24
5/1/20,MORTGAGE30US,3.23,10/4/24,10/4/24
6/1/20,MORTGAGE30US,3.16,10/4/24,10/4/24
7/1/20,MORTGAGE30US,3.02,10/4/24,10/4/24
8/1/20,MORTGAGE30US,2.94,10/4/24,10/4/24
9/1/20,MORTGAGE30US,2.89,10/4/24,10/4/24
10/1/20,MORTGAGE30US,2.83,10/4/24,10/4/24
11/1/20,MORTGAGE30US,2.77,10/4/24,10/4/24
12/1/20,MORTGAGE30US,2.68,10/4/24,10/4/24
1/1/21,MORTGAGE30US,2.74,10/4/24,10/4/24
2/1/21,MORTGAGE30US,2.81,10/4/24,10/4/24
3/1/21,MORTGAGE30US,3.08,10/4/24,10/4/24
4/1/21,MORTGAGE30US,3.06,10/4/24,10/4/24
5/1/21,MORTGAGE30US,2.96,10/4/24,10/4/24
6/1/21,MORTGAGE30US,2.98,10/4/24,10/4/24
7/1/21,MORTGAGE30US,2.87,10/4/24,10/4/24
8/1/21,MORTGAGE30US,2.84,10/4/24,10/4/24
9/1/21,MORTGAGE30US,2.9,10/4/24,10/4/24
10/1/21,MORTGAGE30US,3.07,10/4/24,10/4/24
11/1/21,MORTGAGE30US,3.07,10/4/24,10/4/24
12/1/21,MORTGAGE30US,3.1,10/4/24,10/4/24
1/1/22,MORTGAGE30US,3.45,10/4/24,10/4/24
2/1/22,MORTGAGE30US,3.76,10/4/24,10/4/24
3/1/22,MORTGAGE30US,4.17,10/4/24,10/4/24
4/1/22,MORTGAGE30US,4.98,10/4/24,10/4/24
5/1/22,MORTGAGE30US,5.23,10/4/24,10/4/24
6/1/22,MORTGAGE30US,5.52,10/4/24,10/4/24
7/1/22,MORTGAGE30US,5.41,10/4/24,10/4/24
8/1/22,MORTGAGE30US,5.22,10/4/24,10/4/24
9/1/22,MORTGAGE30US,6.11,10/4/24,10/4/24
10/1/22,MORTGAGE30US,6.9,10/4/24,10/4/24
11/1/22,MORTGAGE30US,6.81,10/4/24,10/4/24
12/1/22,MORTGAGE30US,6.36,10/4/24,10/4/24
1/1/23,MORTGAGE30US,6.27,10/4/24,10/4/24
2/1/23,MORTGAGE30US,6.26,10/4/24,10/4/24
3/1/23,MORTGAGE30US,6.54,10/4/24,10/4/24
4/1/23,MORTGAGE30US,6.34,10/4/24,10/4/24
5/1/23,MORTGAGE30US,6.43,10/4/24,10/4/24
6/1/23,MORTGAGE30US,6.71,10/4/24,10/4/24
7/1/23,MORTGAGE30US,6.84,10/4/24,10/4/24
8/1/23,MORTGAGE30US,7.07,10/4/24,10/4/24
9/1/23,MORTGAGE30US,7.2,10/4/24,10/4/24
10/1/23,MORTGAGE30US,7.62,10/4/24,10/4/24
11/1/23,MORTGAGE30US,7.44,10/4/24,10/4/24
12/1/23,MORTGAGE30US,6.82,10/4/24,10/4/24
1/1/24,MORTGAGE30US,6.64,10/4/24,10/4/24
2/1/24,MORTGAGE30US,6.78,10/4/24,10/4/24
3/1/24,MORTGAGE30US,6.82,10/4/24,10/4/24
4/1/24,MORTGAGE30US,6.99,10/4/24,10/4/24
